utcdatetime,volume,quoteVolume,high,low,timestamp,close,weightedAverage,open
2015-08-25 20:00:00,38.4403385,179625596.002,6.9e-05,1.5e-07,1440532800.0,2.4e-07,2.1e-07,5e-07
2015-08-26 00:00:00,16.95378323,61536041.9609,3.3e-07,2.2e-07,1440547200.0,3e-07,2.7e-07,2.5e-07
2015-08-26 04:00:00,7.18768307,29627561.6981,3e-07,1.9e-07,1440561600.0,2.2e-07,2.4e-07,2.5e-07
2015-08-26 08:00:00,15.12357911,67563180.085,2.6e-07,2e-07,1440576000.0,2.3e-07,2.2e-07,2.2e-07
2015-08-26 12:00:00,43.22089357,204038675.453,3e-07,1.4e-07,1440590400.0,2e-07,2.1e-07,2.4e-07
2015-08-26 16:00:00,17.06188254,86810387.1517,2.3e-07,1.5e-07,1440604800.0,2.1e-07,1.9e-07,2.1e-07
2015-08-26 20:00:00,13.72132521,70571123.4417,2.3e-07,1.7e-07,1440619200.0,1.8e-07,1.9e-07,2.2e-07
2015-08-27 00:00:00,2.23626177,12426629.0386,2e-07,1.7e-07,1440633600.0,1.7e-07,1.7e-07,1.8e-07
2015-08-27 04:00:00,14.57986248,65511476.7976,2.4e-07,1.9e-07,1440648000.0,2.1e-07,2.2e-07,1.9e-07
2015-08-27 08:00:00,4.53674019,22070353.0961,2.2e-07,2e-07,1440662400.0,2.2e-07,2e-07,2.2e-07
2015-08-27 12:00:00,7.92640411,38407099.1987,2.2e-07,2e-07,1440676800.0,2.1e-07,2e-07,2.1e-07
2015-08-27 16:00:00,12.64767355,64558474.7341,2.1e-07,1.8e-07,1440691200.0,1.9e-07,1.9e-07,2.1e-07
2015-08-27 20:00:00,0.80702325,4353752.63204,2e-07,1.8e-07,1440705600.0,1.9e-07,1.8e-07,1.9e-07
2015-08-28 00:00:00,5.91366511,29659510.328,2.1e-07,1.9e-07,1440720000.0,1.9e-07,1.9e-07,1.9e-07
2015-08-28 04:00:00,9.54797648,56123234.0604,1.9e-07,1.6e-07,1440734400.0,1.6e-07,1.7e-07,1.9e-07
